gwas_phenotype	atlas	hemisphere	region	fs_name
aparc-a2009s_rh_volume_G-temp-sup-G-T-transv	a2009s	rh	temporal	G_temp_sup-G_T_transv
aparc-a2009s_rh_volume_G-temp-sup-Lateral	a2009s	rh	temporal	G_temp_sup-Lateral
aparc-a2009s_rh_volume_G-temp-sup-Plan-polar	a2009s	rh	temporal	G_temp_sup-Plan_polar
aparc-a2009s_rh_volume_G-temp-sup-Plan-tempo	a2009s	rh	temporal	G_temp_sup-Plan_tempo
aparc-a2009s_rh_volume_G-temporal-inf	a2009s	rh	temporal	G_temporal_inf
aparc-a2009s_rh_volume_G-temporal-middle	a2009s	rh	temporal	G_temporal_middle
aparc-a2009s_rh_volume_Lat-Fis-ant-Horizont	a2009s	rh	temporal	Lat_Fis-ant-Horizont
aparc-a2009s_rh_volume_Lat-Fis-ant-Vertical	a2009s	rh	temporal	Lat_Fis-ant-Vertical
aparc-a2009s_rh_volume_Lat-Fis-post	a2009s	rh	temporal	Lat_Fis-post
aparc-a2009s_rh_volume_Pole-occipital	a2009s	rh	occipital	Pole_occipital
aparc-a2009s_rh_volume_Pole-temporal	a2009s	rh	temporal	Pole_temporal
aparc-a2009s_rh_volume_S-calcarine	a2009s	rh	occipital	S_calcarine
aparc-a2009s_rh_volume_S-central	a2009s	rh	frontoparietal	S_central
aparc-a2009s_rh_volume_S-cingul-Marginalis	a2009s	rh	cingulate	S_cingul-Marginalis
aparc-a2009s_rh_volume_S-circular-insula-ant	a2009s	rh	insula	S_circular_insula_ant
aparc-a2009s_rh_volume_S-circular-insula-inf	a2009s	rh	insula	S_circular_insula_inf
aparc-a2009s_rh_volume_S-circular-insula-sup	a2009s	rh	insula	S_circular_insula_sup
aparc-a2009s_rh_volume_S-collat-transv-ant	a2009s	rh	occipital	S_collat_transv_ant
aparc-a2009s_rh_volume_S-collat-transv-post	a2009s	rh	occipital	S_collat_transv_post
aparc-a2009s_rh_volume_S-front-inf	a2009s	rh	frontal	S_front_inf
aparc-a2009s_rh_volume_S-front-middle	a2009s	rh	frontal	S_front_middle
aparc-a2009s_rh_volume_S-front-sup	a2009s	rh	frontal	S_front_sup
aparc-a2009s_rh_volume_S-interm-prim-Jensen	a2009s	rh	parietal	S_interm_prim-Jensen
aparc-a2009s_rh_volume_S-intrapariet+P-trans	a2009s	rh	parietal	S_intrapariet_and_P_trans
aparc-a2009s_rh_volume_S-oc-middle+Lunatus	a2009s	rh	occipital	S_oc_middle_and_Lunatus
aparc-a2009s_rh_volume_S-oc-sup+transversal	a2009s	rh	occipital	S_oc_sup_and_transversal
aparc-a2009s_rh_volume_S-occipital-ant	a2009s	rh	occipital	S_occipital_ant
aparc-a2009s_rh_volume_S-oc-temp-lat	a2009s	rh	occipitotemporal	S_oc-temp_lat
